Red,Blue,Winner,Fight_URL,Event
Yaroslav Amosov,Neil Magny,,http://ufcstats.com/fight-details/0fca825e14429c1f,UFC Fight Night: Royval vs. Kape
Joanderson Brito,Isaac Thomson,,http://ufcstats.com/fight-details/225e93ebed9b71b8,UFC Fight Night: Royval vs. Kape
Steven Asplund,Sean Sharaf,,http://ufcstats.com/fight-details/a2523a8565fe4361,UFC Fight Night: Royval vs. Kape
Luana Santos,Melissa Croden,,http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,UFC Fight Night: Royval vs. Kape
Guilherme Pat,Allen Frye Jr.,,http://ufcstats.com/fight-details/ac56a1052c4c8f63,UFC Fight Night: Royval vs. Kape
Jamey-Lyn Horth,Tereza Bleda,,http://ufcstats.com/fight-details/71170fb7ade3e1f4,UFC Fight Night: Royval vs. Kape
Petr Yan,Merab Dvalishvili,,http://ufcstats.com/fight-details/4a0db214d9721d6e,UFC 323: Dvalishvili vs. Yan 2
Joshua Van,Alexandre Pantoja,,http://ufcstats.com/fight-details/dfa692db6d39330c,UFC 323: Dvalishvili vs. Yan 2
Tatsuro Taira,Brandon Moreno,,http://ufcstats.com/fight-details/fbbb9e72900b71f5,UFC 323: Dvalishvili vs. Yan 2
Payton Talbott,Henry Cejudo,,http://ufcstats.com/fight-details/1dc29f4c6fcdd356,UFC 323: Dvalishvili vs. Yan 2
Jan Blachowicz,Bogdan Guskov,,http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,UFC 323: Dvalishvili vs. Yan 2
Manuel Torres,Grant Dawson,,http://ufcstats.com/fight-details/c797b58d85c840a4,UFC 323: Dvalishvili vs. Yan 2
Chris Duncan,Terrance McKinney,,http://ufcstats.com/fight-details/b3d2ac2244e4f791,UFC 323: Dvalishvili vs. Yan 2
Maycee Barber,Karine Silva,,http://ufcstats.com/fight-details/2417cc7bc1eea75b,UFC 323: Dvalishvili vs. Yan 2
Fares Ziam,Nazim Sadykhov,,http://ufcstats.com/fight-details/10a57b983e59f727,UFC 323: Dvalishvili vs. Yan 2
Brunno Ferreira,Marvin Vettori,,http://ufcstats.com/fight-details/3c683da1924b6c44,UFC 323: Dvalishvili vs. Yan 2
Jalin Turner,Edson Barboza,,http://ufcstats.com/fight-details/7af407397532f7cf,UFC 323: Dvalishvili vs. Yan 2
Iwo Baraniewski,Ibo Aslan,,http://ufcstats.com/fight-details/ea660db65bfa998f,UFC 323: Dvalishvili vs. Yan 2
Mansur Abdul-Malik,Antonio Trocoli,,http://ufcstats.com/fight-details/964ea1777695851b,UFC 323: Dvalishvili vs. Yan 2
Mairon Santos,Muhammad Naimov,,http://ufcstats.com/fight-details/40fa4f8b4b93884e,UFC 323: Dvalishvili vs. Yan 2
Arman Tsarukyan,Dan Hooker,,http://ufcstats.com/fight-details/5f5b626e67529056,UFC Fight Night: Tsarukyan vs. Hooker
Ian Machado Garry,Belal Muhammad,,http://ufcstats.com/fight-details/b2218930b982d9b6,UFC Fight Night: Tsarukyan vs. Hooker
Volkan Oezdemir,Alonzo Menifield,,http://ufcstats.com/fight-details/870d374f8d9af65a,UFC Fight Night: Tsarukyan vs. Hooker
Myktybek Orolbai,Jack Hermansson,,http://ufcstats.com/fight-details/8ed609d80e135d94,UFC Fight Night: Tsarukyan vs. Hooker
Waldo Cortes Acosta,Shamil Gaziev,,http://ufcstats.com/fight-details/e8307c7686c42d8c,UFC Fight Night: Tsarukyan vs. Hooker
Kyoji Horiguchi,Tagir Ulanbekov,,http://ufcstats.com/fight-details/00ee51bba08b7a08,UFC Fight Night: Tsarukyan vs. Hooker
Luke Riley,Bogdan Grad,,http://ufcstats.com/fight-details/5e6a74db89f5410c,UFC Fight Night: Tsarukyan vs. Hooker
Nicolas Dalby,Saygid Izagakhmaev,,http://ufcstats.com/fight-details/c49485cedb878cf0,UFC Fight Night: Tsarukyan vs. Hooker
Asu Almabayev,Alex Perez,,http://ufcstats.com/fight-details/443f30a4a856584a,UFC Fight Night: Tsarukyan vs. Hooker
Abdul Rakhman Yakhyaev,Rafael Cerqueira,,http://ufcstats.com/fight-details/f5564a9eeebd4ea0,UFC Fight Night: Tsarukyan vs. Hooker
Aleksandre Topuria,Bekzat Almakhan,,http://ufcstats.com/fight-details/6f0231915cc28507,UFC Fight Night: Tsarukyan vs. Hooker
Ismail Naurdiev,Ryan Loder,,http://ufcstats.com/fight-details/335064c3380e2f10,UFC Fight Night: Tsarukyan vs. Hooker
Nurullo Aliev,Shem Rock,,http://ufcstats.com/fight-details/46f81d5ecd974c1c,UFC Fight Night: Tsarukyan vs. Hooker
Denzel Freeman,Marek Bujlo,,http://ufcstats.com/fight-details/9027e156c6f1988a,UFC Fight Night: Tsarukyan vs. Hooker
